code,name,level,parent_code
25747,Phường Thủ Dầu Một,phuong,79
25750,Phường Phú Lợi,phuong,79
25760,Phường Bình Dương,phuong,79
25768,Phường Phú An,phuong,79
25771,Phường Chánh Hiệp,phuong,79
25777,Xã Dầu Tiếng,xa,79
25780,Xã Minh Thạnh,xa,79
25792,Xã Long Hòa,xa,79
25807,Xã Thanh An,xa,79
25813,Phường Bến Cát,phuong,79
25819,Xã Trừ Văn Thố,xa,79
25822,Xã Bàu Bàng,xa,79
25837,Phường Chánh Phú Hòa,phuong,79
25840,Phường Long Nguyên,phuong,79
25843,Phường Tây Nam,phuong,79
25846,Phường Thới Hòa,phuong,79
25849,Phường Hòa Lợi,phuong,79
25858,Xã Phú Giáo,xa,79
25864,Xã Phước Thành,xa,79
25867,Xã An Long,xa,79
25882,Xã Phước Hòa,xa,79
25888,Phường Tân Uyên,phuong,79
25891,Phường Tân Khánh,phuong,79
25906,Xã Bắc Tân Uyên,xa,79
25909,Xã Thường Tân,xa,79
25912,Phường Vĩnh Tân,phuong,79
25915,Phường Bình Cơ,phuong,79
25920,Phường Tân Hiệp,phuong,79
25942,Phường Dĩ An,phuong,79
25945,Phường Tân Đông Hiệp,phuong,79
25951,Phường Đông Hòa,phuong,79
25966,Phường Lái Thiêu,phuong,79
25969,Phường Thuận Giao,phuong,79
25975,Phường An Phú,phuong,79
25978,Phường Thuận An,phuong,79
25987,Phường Bình Hòa,phuong,79
26506,Phường Vũng Tàu,phuong,79
26526,Phường Tam Thắng,phuong,79
26536,Phường Rạch Dừa,phuong,79
26542,Phường Phước Thắng,phuong,79
26545,Xã Long Sơn,xa,79
26560,Phường Bà Rịa,phuong,79
26566,Phường Long Hương,phuong,79
26572,Phường Tam Long,phuong,79
26575,Xã Ngãi Giao,xa,79
26584,Xã Xuân Sơn,xa,79
26590,Xã Bình Giã,xa,79
26596,Xã Châu Đức,xa,79
26608,Xã Kim Long,xa,79
26617,Xã Nghĩa Thành,xa,79
26620,Xã Hồ Tràm,xa,79
26632,Xã Xuyên Mộc,xa,79
26638,Xã Bàu Lâm,xa,79
26641,Xã Hòa Hội,xa,79
26647,Xã Hòa Hiệp,xa,79
